KNI A/S	Lagersted og varenummer statistik	17-04-2009	10:52:07	Side 1	xllu
Varenummer	Varenavn	Antal	Omsætning	Kostbeløb	DB
Varenummer	Antal	Omsætning	Kostbeløb	Regulering	Økonomisk kostbeløb
1956001	-960,00	-12.729,60	-13.692,38	0,00	-13.692,38
1956001	-20,00	-265,20	-281,81	0,00	-281,81
1956001	-2.880,00	-38.188,80	-40.576,70	0,00	-40.576,70
1956001	-960,00	-12.729,60	-13.525,56	0,00	-13.525,56
1956001	-1.920,00	-25.459,20	-27.051,13	0,00	-27.051,13
1956001	-240,00	-3.182,40	-3.381,39	0,00	-3.381,39
1956001	-60,00	-795,60	-845,35	0,00	-845,35
1956001	-960,00	-12.729,60	-13.525,57	0,00	-13.525,57
1956001	-960,00	-12.729,60	-13.525,56	0,00	-13.525,56
1956001	-960,00	-12.729,60	-13.518,58	0,00	-13.518,58
1956001	-960,00	-12.729,60	-13.518,58	0,00	-13.518,58
1956001	-960,00	-12.729,60	-13.518,58	0,00	-13.518,58
1956001	-960,00	-12.729,60	-13.518,58	0,00	-13.518,58
1956001	-960,00	-12.729,60	-13.518,58	0,00	-13.518,58
1956001	-1.920,00	-25.459,20	-27.037,15	0,00	-27.037,15
1956001	-2.880,00	-38.188,80	-40.555,73	0,00	-40.555,73
1956001	-960,00	-12.729,60	-13.518,58	0,00	-13.518,58
1956001	-1.920,00	-25.459,20	-27.037,15	0,00	-27.037,15
1956001	-960,00	-12.729,60	-13.518,58	0,00	-13.518,58
1956001	-960,00	-12.729,60	-13.518,58	0,00	-13.518,58
1956001	-100,00	-1.326,00	-1.408,18	0,00	-1.408,18
1956001	-60,00	-795,60	-843,63	0,00	-843,63
1956001	-20,00	-265,20	-281,21	0,00	-281,21
1956001	-960,00	-12.729,60	-11.654,40	0,00	-11.654,40
1956001	-960,00	-12.729,60	-11.654,40	0,00	-11.654,40
1956001	-960,00	-12.729,60	-11.654,40	0,00	-11.654,40
1956001	-960,00	-12.729,60	-11.654,40	0,00	-11.654,40
1956001	-960,00	-12.729,60	-11.654,40	0,00	-11.654,40
1956001	-960,00	-12.729,60	-11.654,40	0,00	-11.654,40
1956001	-1.920,00	-25.459,20	-23.308,80	0,00	-23.308,80
1956001	-1.920,00	-25.459,20	-23.308,80	0,00	-23.308,80
1956001	-960,00	-12.729,60	-11.654,40	0,00	-11.654,40
1956001	-2.880,00	-38.188,80	-40.224,56	0,00	-40.224,56
1956001	-960,00	-12.729,60	-13.408,14	0,00	-13.408,14
1956001	-200,00	-2.652,00	-2.793,36	0,00	-2.793,36
1956001	-520,00	-6.895,20	-7.262,74	0,00	-7.262,74
1956001	-100,00	-1.326,00	-1.396,68	0,00	-1.396,68
1956001	-480,00	-6.364,80	-6.703,87	0,00	-6.703,87
1956001	-200,00	-2.652,00	-2.792,76	0,00	-2.792,76
1956001	-80,00	-1.060,80	-1.117,11	0,00	-1.117,11
1956001	-20,00	-265,20	-279,16	0,00	-279,16
1956001	-800,00	-10.608,00	-11.166,18	0,00	-11.166,18
1956001	-60,00	-795,60	-836,83	0,00	-836,83
1956001	-960,00	-12.729,60	-13.369,27	0,00	-13.369,27
1956001	-120,00	-1.591,20	-1.671,16	0,00	-1.671,16
1956001	-80,00	-1.060,80	-1.114,11	0,00	-1.114,11
1956001	-480,00	-6.364,80	-6.684,64	0,00	-6.684,64
KNI A/S	Lagersted og varenummer statistik	17-04-2009	10:52:07	Side 2	xllu
Varenummer	Varenavn	Antal	Omsætning	Kostbeløb	DB
